Id,EventType,Message,VideoId,EventName,ModifiedBy,ModifiedDate,Video_Token,ThreadId,Tags,Created,SubmissionDate,VideoCreatorId,Reply_To,Weight,Position,Duration,VideoResolution,Views,CommunityManagerNotes,Custom_Label,Video_State,Video_Type,IsDeleted
1996,Video,,1175,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 6:43:43 PM,r14f6e248eed0836d010c5c686c6d13d,931,"submitted,{""threadId"":1195},pending",11/15/2020 1:38:39 PM,11/15/2020 1:39:07 PM,,0,0,2,20.52,,0,,Madly in Life,Created,Normal,False
1997,Video,,1175,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 6:43:45 PM,r14f6e248eed0836d010c5c686c6d13d,931,"submitted,{""threadId"":1195},pending",11/15/2020 1:38:39 PM,11/15/2020 1:39:07 PM,,0,0,2,20.52,,0,,Madly in Life,Published,Normal,False
2000,Video,Original video: 1181,1199,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 6:55:09 PM,r16fa5ecd9d7a464ae2f61a0ea2ca717,931,"submitted,{""threadId"":1254},pending",11/15/2020 2:29:52 PM,11/15/2020 2:30:06 PM,,0,0,3,67.8,,0,,,Created,Featured,False
2001,Video,,1199,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 6:55:21 PM,r16fa5ecd9d7a464ae2f61a0ea2ca717,931,"submitted,{""threadId"":1254},pending",11/15/2020 2:29:52 PM,11/15/2020 2:30:06 PM,,0,0,3,67.8,,0,,Parquet,Created,Featured,False
2002,Video,,1199,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 6:55:21 PM,r16fa5ecd9d7a464ae2f61a0ea2ca717,931,"submitted,{""threadId"":1254},pending",11/15/2020 2:29:52 PM,11/15/2020 2:30:06 PM,,0,0,3,67.8,,0,,Parquet,Published,Normal,False
2004,Video,,1199,VideoType,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 6:58:45 PM,r16fa5ecd9d7a464ae2f61a0ea2ca717,931,"submitted,{""threadId"":1254},pending",11/15/2020 2:29:52 PM,11/15/2020 2:30:06 PM,,0,0,3,67.8,,0,,Parquet,Published,Featured,False
2005,Video,,1199,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 6:58:55 PM,r16fa5ecd9d7a464ae2f61a0ea2ca717,931,"submitted,{""threadId"":1254},pending",11/15/2020 2:29:52 PM,11/15/2020 2:30:06 PM,,0,0,3,67.8,,0,,Parquet / Parketil,Published,Featured,False
2006,Video,,1175,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 6:59:00 PM,r14f6e248eed0836d010c5c686c6d13d,931,"submitted,{""threadId"":1195},pending",11/15/2020 1:38:39 PM,11/15/2020 1:39:07 PM,,0,0,2,20.52,,0,,Madly in Life / Meeletult elus,Published,Normal,False
2007,Video,,1120,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 6:59:09 PM,r1966bd0babbc39b4a00d69f33a587ad,931,"submitted,{""threadId"":931},pending",11/13/2020 5:22:14 PM,11/13/2020 5:22:28 PM,,0,0,1,27.03,,0,Jakarta,"Jakarta, City of Dreamers / Jakarta, unistajate linn",Published,Featured,False
2011,Video,Original video: 1126,1200,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 7:00:59 PM,r1bd024f073a42933fa8d9a1cd9ed1ac,931,"submitted,{""threadId"":1266},pending",11/14/2020 9:10:07 AM,11/14/2020 9:10:19 AM,,0,0,4,44.37,,0,,Poppy Field / Mooniväli,Created,Featured,False
2012,Video,,1200,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 7:01:07 PM,r1bd024f073a42933fa8d9a1cd9ed1ac,931,"submitted,{""threadId"":1266},pending",11/14/2020 9:10:07 AM,11/14/2020 9:10:19 AM,,0,0,4,44.37,,0,,Poppy Field / Mooniväli,Published,Normal,False
2015,Video,Original video: 1196,1201,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 7:02:18 PM,r199925450a1e8c9deb0493f21d1d5cd,931,"submitted,{""threadId"":1266},pending",11/16/2020 4:09:38 PM,11/16/2020 4:09:47 PM,,0,0,5,17.67,,0,,,Created,Normal,False
2016,Video,,1201,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 7:02:34 PM,r199925450a1e8c9deb0493f21d1d5cd,931,"submitted,{""threadId"":1266},pending",11/16/2020 4:09:38 PM,11/16/2020 4:09:47 PM,,0,0,5,17.67,,0,,Poppy Field / Mooniväli,Created,Normal,False
2017,Video,,1201,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 7:02:40 PM,r199925450a1e8c9deb0493f21d1d5cd,931,"submitted,{""threadId"":1266},pending",11/16/2020 4:09:38 PM,11/16/2020 4:09:47 PM,,0,0,5,17.67,,0,,Poppy Field / Mooniväli,Published,Normal,False
2022,Video,,1200,VideoType,631b63ae-1557-407a-b346-4bef91c1ae6d,11/16/2020 9:15:59 PM,r1bd024f073a42933fa8d9a1cd9ed1ac,931,"submitted,{""threadId"":1266},pending",11/14/2020 9:10:07 AM,11/14/2020 9:10:19 AM,,0,0,4,44.37,,0,,Poppy Field / Mooniväli,Published,Featured,False
2105,Video,Original video: 1204,1216,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 9:49:24 AM,r1e2efebd29444dcea742730044ef3d4,931,"submitted,{""threadId"":1007},pending",11/16/2020 8:15:51 PM,11/16/2020 8:18:04 PM,,0,0,6,59.29,,0,,Black Light / Must valgus,Created,Normal,False
2107,Video,Original video: 1204,1217,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 9:49:27 AM,r104ddbb9215798cd204803d96d268e1,931,"submitted,{""threadId"":1007},pending",11/16/2020 8:15:51 PM,11/16/2020 8:18:04 PM,,0,0,7,59.29,,0,,Black Light / Must valgus,Created,Normal,False
2109,Video,Original video: 1204,1218,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 9:49:35 AM,r1d5242bee1b577641415cbd6699c51d,931,"submitted,{""threadId"":1007},pending",11/16/2020 8:15:51 PM,11/16/2020 8:18:04 PM,,0,0,8,59.29,,0,,Black Light / Must valgus,Created,Normal,False
2110,Video,,1218,Delete,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 9:49:50 AM,r1d5242bee1b577641415cbd6699c51d,931,"submitted,{""threadId"":1007},pending",11/16/2020 8:15:51 PM,11/16/2020 8:18:04 PM,,0,0,8,59.29,,0,,Black Light / Must valgus,Created,Normal,True
2111,Video,,1217,Delete,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 9:49:57 AM,r104ddbb9215798cd204803d96d268e1,931,"submitted,{""threadId"":1007},pending",11/16/2020 8:15:51 PM,11/16/2020 8:18:04 PM,,0,0,7,59.29,,0,,Black Light / Must valgus,Created,Normal,True
2112,Video,,1216,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 9:50:01 AM,r1e2efebd29444dcea742730044ef3d4,931,"submitted,{""threadId"":1007},pending",11/16/2020 8:15:51 PM,11/16/2020 8:18:04 PM,,0,0,6,59.29,,0,,Black Light / Must valgus,Published,Normal,False
2120,Video,Original video: 1212,1220,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:15:26 AM,r16dcb8c44e9b908c016d82610d5129f,931,"submitted,{""threadId"":1254},pending",11/17/2020 9:01:48 AM,11/17/2020 9:02:18 AM,,0,0,9,36,,0,Denis Krupnov (producer),Denis Krupnov / Producer,Created,Featured,False
2121,Video,,1220,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:17:20 AM,r16dcb8c44e9b908c016d82610d5129f,931,"submitted,{""threadId"":1254},pending",11/17/2020 9:01:48 AM,11/17/2020 9:02:18 AM,,0,0,9,36,,0,Denis Krupnov (producer),PARQUET / PARKETIL,Created,Featured,False
2122,Video,,1220,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:17:21 AM,r16dcb8c44e9b908c016d82610d5129f,931,"submitted,{""threadId"":1254},pending",11/17/2020 9:01:48 AM,11/17/2020 9:02:18 AM,,0,0,9,36,,0,Denis Krupnov (producer),PARQUET / PARKETIL,Published,Normal,False
2123,Video,,1220,VideoType,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:17:27 AM,r16dcb8c44e9b908c016d82610d5129f,931,"submitted,{""threadId"":1254},pending",11/17/2020 9:01:48 AM,11/17/2020 9:02:18 AM,,0,0,9,36,,0,Denis Krupnov (producer),PARQUET / PARKETIL,Published,Featured,False
2125,Video,Original video: 1213,1221,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:18:09 AM,r12f2cb8983c3ff9eeb28ce783a38eb0,931,"submitted,{""threadId"":1254},pending",11/17/2020 9:04:51 AM,11/17/2020 9:05:03 AM,,0,0,10,54.42,,0,Evgenia Dodina (actress),"Evgenia Dodina / actress ",Created,Featured,False
2126,Video,,1221,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:18:23 AM,r12f2cb8983c3ff9eeb28ce783a38eb0,931,"submitted,{""threadId"":1254},pending",11/17/2020 9:04:51 AM,11/17/2020 9:05:03 AM,,0,0,10,54.42,,0,Evgenia Dodina (actress),PARQUET / PARKETIL,Created,Featured,False
2127,Video,,1220,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:18:29 AM,r16dcb8c44e9b908c016d82610d5129f,931,"submitted,{""threadId"":1254},pending",11/17/2020 9:01:48 AM,11/17/2020 9:02:18 AM,,0,0,9,36,,0,Denis Krupnov (producer),Parquet / Parketil,Published,Featured,False
2128,Video,,1221,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:18:31 AM,r12f2cb8983c3ff9eeb28ce783a38eb0,931,"submitted,{""threadId"":1254},pending",11/17/2020 9:04:51 AM,11/17/2020 9:05:03 AM,,0,0,10,54.42,,0,Evgenia Dodina (actress),Parquet / Parketil,Created,Featured,False
2129,Video,,1221,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:18:32 AM,r12f2cb8983c3ff9eeb28ce783a38eb0,931,"submitted,{""threadId"":1254},pending",11/17/2020 9:04:51 AM,11/17/2020 9:05:03 AM,,0,0,10,54.42,,0,Evgenia Dodina (actress),Parquet / Parketil,Published,Normal,False
2130,Video,,1221,VideoType,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:18:36 AM,r12f2cb8983c3ff9eeb28ce783a38eb0,931,"submitted,{""threadId"":1254},pending",11/17/2020 9:04:51 AM,11/17/2020 9:05:03 AM,,0,0,10,54.42,,0,Evgenia Dodina (actress),Parquet / Parketil,Published,Featured,False
2131,Video,,1199,CMNote,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:19:47 AM,r16fa5ecd9d7a464ae2f61a0ea2ca717,931,"submitted,{""threadId"":1254},pending",11/15/2020 2:29:52 PM,11/15/2020 2:30:06 PM,,0,0,3,67.8,,0,"Aleksandr Mindadze (director) ",Parquet / Parketil,Published,Featured,False
2134,Video,Original video: 1204,1222,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:21:15 AM,r101bb89695c2d3a3e6a94b0f473cae6,931,"submitted,{""threadId"":1007},pending",11/16/2020 8:15:51 PM,11/16/2020 8:18:04 PM,,0,0,11,59.29,,0,,Black Light / Must valgus,Created,Normal,False
2135,Video,,1222,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:22:12 AM,r101bb89695c2d3a3e6a94b0f473cae6,931,"submitted,{""threadId"":1007},pending",11/16/2020 8:15:51 PM,11/16/2020 8:18:04 PM,,0,0,11,59.29,,0,,Black Light / Must valgus,Published,Normal,False
2141,Video,Original video: 1215,1223,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:23:59 AM,r10fcc5f94cda4de0c02e4f7b579c244,931,"submitted,{""threadId"":1266},pending",11/17/2020 9:31:17 AM,11/17/2020 9:31:31 AM,,0,0,12,64.83,,0,,Eugen Jebeleanu / Director,Created,Featured,False
2142,Video,,1223,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:25:00 AM,r10fcc5f94cda4de0c02e4f7b579c244,931,"submitted,{""threadId"":1266},pending",11/17/2020 9:31:17 AM,11/17/2020 9:31:31 AM,,0,0,12,64.83,,0,,Poppy Field / Mooniväli,Created,Featured,False
2143,Video,,1223,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:25:01 AM,r10fcc5f94cda4de0c02e4f7b579c244,931,"submitted,{""threadId"":1266},pending",11/17/2020 9:31:17 AM,11/17/2020 9:31:31 AM,,0,0,12,64.83,,0,,Poppy Field / Mooniväli,Published,Normal,False
2144,Video,,1223,VideoType,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 10:25:03 AM,r10fcc5f94cda4de0c02e4f7b579c244,931,"submitted,{""threadId"":1266},pending",11/17/2020 9:31:17 AM,11/17/2020 9:31:31 AM,,0,0,12,64.83,,0,,Poppy Field / Mooniväli,Published,Featured,False
2149,Video,,1227,Created,System,11/17/2020 2:23:07 PM,r157385b53c50441e41de6d79ddabc3d,931,"submitted,{""threadId"":931},pending,{""replyTo"":""1222""}",11/17/2020 1:52:06 PM,11/17/2020 1:52:21 PM,,1222,0,13,3.4,,0,,,Created,Normal,False
2150,Video,,1227,Delete,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 2:23:32 PM,r157385b53c50441e41de6d79ddabc3d,931,"submitted,{""threadId"":931},pending,{""replyTo"":""1222""}",11/17/2020 1:52:06 PM,11/17/2020 1:52:21 PM,,1222,0,13,3.4,,0,,,Created,Normal,True
2151,Video,,1222,Delete,631b63ae-1557-407a-b346-4bef91c1ae6d,11/17/2020 2:54:58 PM,r101bb89695c2d3a3e6a94b0f473cae6,931,"submitted,{""threadId"":931},approved",11/17/2020 10:21:09 AM,11/17/2020 10:21:15 AM,,0,0,11,59.29,,0,,Black Light / Must valgus,Published,Normal,True
2301,Video,Original video: 1249,1250,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 10:21:39 AM,r1df8b0a696722570557e02af542e1e6,931,"submitted,{""threadId"":1492},pending",11/19/2020 7:56:58 AM,11/19/2020 7:57:32 AM,,0,0,14,13.56,,0,,,Created,Normal,False
2302,Video,,1250,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 10:21:52 AM,r1df8b0a696722570557e02af542e1e6,931,"submitted,{""threadId"":1492},pending",11/19/2020 7:56:58 AM,11/19/2020 7:57:32 AM,,0,0,14,13.56,,0,,WISHLIST / SOOVIDE NIMEKIRI,Created,Normal,False
2303,Video,,1250,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 10:21:57 AM,r1df8b0a696722570557e02af542e1e6,931,"submitted,{""threadId"":1492},pending",11/19/2020 7:56:58 AM,11/19/2020 7:57:32 AM,,0,0,14,13.56,,0,,WISHLIST / SOOVIDE NIMEKIRI,Published,Normal,False
2319,Video,Original video: 1252,1254,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 12:05:24 PM,r1a7e84d5c6b22f00f34b394d4d22810,931,"submitted,{""threadId"":1132},pending",11/19/2020 11:42:56 AM,11/19/2020 11:43:19 AM,,0,0,15,56.76,,0,,DARIA LITVICHENKO / DIRECTOR,Created,Featured,False
2320,Video,,1254,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 12:05:50 PM,r1a7e84d5c6b22f00f34b394d4d22810,931,"submitted,{""threadId"":1132},pending",11/19/2020 11:42:56 AM,11/19/2020 11:43:19 AM,,0,0,15,56.76,,0,,HOME(SICK)NESS / KODUIGATSUS,Created,Featured,False
2321,Video,,1254,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 12:06:31 PM,r1a7e84d5c6b22f00f34b394d4d22810,931,"submitted,{""threadId"":1132},pending",11/19/2020 11:42:56 AM,11/19/2020 11:43:19 AM,,0,0,15,56.76,,0,,HOME(SICK)NESS / KODUIGATSUS,Published,Normal,False
2322,Video,,1254,VideoType,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 12:06:35 PM,r1a7e84d5c6b22f00f34b394d4d22810,931,"submitted,{""threadId"":1132},pending",11/19/2020 11:42:56 AM,11/19/2020 11:43:19 AM,,0,0,15,56.76,,0,,HOME(SICK)NESS / KODUIGATSUS,Published,Featured,False
2329,Video,Original video: 1255,1257,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 1:07:37 PM,r157b3544ba66e078c425213847e5952,931,"submitted,{""threadId"":1015},pending",11/19/2020 12:32:42 PM,11/19/2020 12:32:53 PM,,0,0,16,23.22,,0,,BORIS BAUM / DIRECTOR,Created,Featured,False
2331,Video,,1257,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 1:07:56 PM,r157b3544ba66e078c425213847e5952,931,"submitted,{""threadId"":1015},pending",11/19/2020 12:32:42 PM,11/19/2020 12:32:53 PM,,0,0,16,23.22,,0,,BULA,Created,Featured,False
2332,Video,,1257,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 1:08:31 PM,r157b3544ba66e078c425213847e5952,931,"submitted,{""threadId"":1015},pending",11/19/2020 12:32:42 PM,11/19/2020 12:32:53 PM,,0,0,16,23.22,,0,,BULA,Published,Normal,False
2333,Video,,1257,VideoType,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 1:08:35 PM,r157b3544ba66e078c425213847e5952,931,"submitted,{""threadId"":1015},pending",11/19/2020 12:32:42 PM,11/19/2020 12:32:53 PM,,0,0,16,23.22,,0,,BULA,Published,Featured,False
2338,Video,Original video: 1256,1259,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 1:11:01 PM,r1ef7191e6dcb1054a6dc82348cb25a5,931,"submitted,{""threadId"":1073},pending",11/19/2020 1:01:17 PM,11/19/2020 1:02:01 PM,,0,0,17,22.48,,0,,NYNNE SELIN EIDNES / PRODUCER,Created,Featured,False
2339,Video,,1259,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 1:11:22 PM,r1ef7191e6dcb1054a6dc82348cb25a5,931,"submitted,{""threadId"":1073},pending",11/19/2020 1:01:17 PM,11/19/2020 1:02:01 PM,,0,0,17,22.48,,0,,ERNA AT WAR / ERNA ON SÕJAS,Created,Featured,False
2340,Video,,1259,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 1:11:33 PM,r1ef7191e6dcb1054a6dc82348cb25a5,931,"submitted,{""threadId"":1073},pending",11/19/2020 1:01:17 PM,11/19/2020 1:02:01 PM,,0,0,17,22.48,,0,,ERNA AT WAR / ERNA ON SÕJAS,Published,Normal,False
2345,Video,Original video: 1258,1260,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 1:12:29 PM,r14663516103eb5d9cc1e73f763f5979,931,"submitted,{""threadId"":1073},pending",11/19/2020 1:06:20 PM,11/19/2020 1:07:01 PM,,0,0,18,28.12,,0,,HENRIK RUBEN GENZ / DIRECTOR,Created,Featured,False
2346,Video,,1260,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 1:12:37 PM,r14663516103eb5d9cc1e73f763f5979,931,"submitted,{""threadId"":1073},pending",11/19/2020 1:06:20 PM,11/19/2020 1:07:01 PM,,0,0,18,28.12,,0,,ERNA AT WAR / ERNA ON SÕJAS,Created,Featured,False
2347,Video,,1260,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 1:12:41 PM,r14663516103eb5d9cc1e73f763f5979,931,"submitted,{""threadId"":1073},pending",11/19/2020 1:06:20 PM,11/19/2020 1:07:01 PM,,0,0,18,28.12,,0,,ERNA AT WAR / ERNA ON SÕJAS,Published,Normal,False
2348,Video,,1260,VideoType,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 1:12:44 PM,r14663516103eb5d9cc1e73f763f5979,931,"submitted,{""threadId"":1073},pending",11/19/2020 1:06:20 PM,11/19/2020 1:07:01 PM,,0,0,18,28.12,,0,,ERNA AT WAR / ERNA ON SÕJAS,Published,Featured,False
2349,Video,,1259,VideoType,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 1:12:47 PM,r1ef7191e6dcb1054a6dc82348cb25a5,931,"submitted,{""threadId"":1073},pending",11/19/2020 1:01:17 PM,11/19/2020 1:02:01 PM,,0,0,17,22.48,,0,,ERNA AT WAR / ERNA ON SÕJAS,Published,Featured,False
2355,Video,Original video: 1261,1262,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/19/2020 2:28:23 PM,r1c6698ca3a96d738d8d4655185fa5e4,931,"submitted,{""threadId"":985},pending",11/19/2020 1:44:50 PM,11/19/2020 1:49:52 PM,,0,0,19,48.36,,0,,"Tatjana Moutchnik / Director ",Created,Featured,False
2571,Video,,1281,Created,System,11/19/2020 6:00:02 PM,r1360cc55c4ef8816af63e97e8ad222a,931,"submitted,{""threadId"":931},pending",11/19/2020 5:58:59 PM,11/19/2020 5:59:21 PM,,0,0,20,48.9,,0,,,Created,Normal,False
2883,Video,Original video: 1292,1321,Copy,631b63ae-1557-407a-b346-4bef91c1ae6d,11/20/2020 11:01:28 AM,r16bbf967b5ef1c9479da72e9b5b2e8a,931,"submitted,{""threadId"":948},pending",11/19/2020 6:38:43 PM,11/19/2020 6:38:53 PM,,0,0,21,60.49,,0,,Director / Jorge Cuchi,Created,Featured,False
2884,Video,,1321,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/20/2020 11:01:34 AM,r16bbf967b5ef1c9479da72e9b5b2e8a,931,"submitted,{""threadId"":948},pending",11/19/2020 6:38:43 PM,11/19/2020 6:38:53 PM,,0,0,21,60.49,,0,,,Created,Featured,False
2885,Video,,1321,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/20/2020 11:02:00 AM,r16bbf967b5ef1c9479da72e9b5b2e8a,931,"submitted,{""threadId"":948},pending",11/19/2020 6:38:43 PM,11/19/2020 6:38:53 PM,,0,0,21,60.49,,0,,50 or Two Whales Meet on the Beach,Created,Featured,False
2886,Video,,1321,Publish,631b63ae-1557-407a-b346-4bef91c1ae6d,11/20/2020 11:02:04 AM,r16bbf967b5ef1c9479da72e9b5b2e8a,931,"submitted,{""threadId"":948},pending",11/19/2020 6:38:43 PM,11/19/2020 6:38:53 PM,,0,0,21,60.49,,0,,50 or Two Whales Meet on the Beach,Published,Normal,False
2887,Video,,1321,VideoType,631b63ae-1557-407a-b346-4bef91c1ae6d,11/20/2020 11:02:07 AM,r16bbf967b5ef1c9479da72e9b5b2e8a,931,"submitted,{""threadId"":948},pending",11/19/2020 6:38:43 PM,11/19/2020 6:38:53 PM,,0,0,21,60.49,,0,,50 or Two Whales Meet on the Beach,Published,Featured,False
2888,Video,,1260,PositionChange,631b63ae-1557-407a-b346-4bef91c1ae6d,11/20/2020 11:02:26 AM,r14663516103eb5d9cc1e73f763f5979,931,"submitted,{""threadId"":931},approved,featured",11/19/2020 1:12:25 PM,11/19/2020 1:12:29 PM,,0,0,19,28.12,,0,,ERNA AT WAR / ERNA ON SÕJAS,Published,Featured,False
2889,Video,,1262,PositionChange,631b63ae-1557-407a-b346-4bef91c1ae6d,11/20/2020 11:02:26 AM,r1c6698ca3a96d738d8d4655185fa5e4,931,"submitted,{""threadId"":931},pending",11/19/2020 2:28:17 PM,11/19/2020 2:28:23 PM,,0,0,18,48.36,,0,,"Tatjana Moutchnik / Director ",Created,Normal,False
2890,Video,,1262,CustomLabel,631b63ae-1557-407a-b346-4bef91c1ae6d,11/20/2020 11:04:18 AM,r1c6698ca3a96d738d8d4655185fa5e4,931,"submitted,{""threadId"":931},pending",11/19/2020 2:28:17 PM,11/19/2020 2:28:23 PM,,0,0,18,48.36,,0,,"BEAR HILL PATH / ",Created,Normal,False
